Designator,Footprint,Quantity,Value,LCSC Part #
BATTP1,SOT-23-6,1,DW01A,C2927799
BMS1,SOT-23-6,1,FS8205A,C2830320
"C1, C2, C5",0603,3,10uF,C19702
"C10, C11, C7, C9",0603,4,0.1uF,C14663
"C12, C13, C14",0603,3,4.7uF,C19666
C6,1206,1,100uF,C15008
C8,0603,1,1.0uF,C15849
CHRG1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,C15464
HAPTIC1,VSSOP-10_3x3mm_P0.5mm,1,DRV2605LDGS,C527464
LDO1,SOT-23-5,1,XC6220B331MR,C22466451
"R10, R9",0603,2,1.8k,C4177
"R11, R3, R8",0603,3,100k,C25803
"R12, R13",0603,2,12k,C22790
R2,0603,1,5.1k,C23186
"R4, R5",0603,2,4.7k,C23162
R6,0603,1,100,C22775
R7,0603,1,1k,C21190
